🎮 BLOODY ROAR | 1997

📀 Bloody Roar (Arcade) OST: Hyper Beast Duel | https://www.youtube.com/playlist?list=PL90QAKwVH1t5HN_xDzA0N9XSy8YrwRoDB
📀 Bloody Roar (Arcade): Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t6IwC4GytQeNsRNiluAYeX_
📀 Bloody Roar (Arcade) Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t66nkyZWauokCci2OwU-e9J
📀 Bloody Roar (PS) OST: ~Primal Scream~ | https://www.youtube.com/playlist?list=PL90QAKwVH1t7AG60dqWKqjiMgLxlJlFy_
📀 Bloody Roar (PS): Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t70VPTWG2tCqe0gha3wE_5D
📀 Bloody Roar (PS) Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t5vSgclgwDZEJUPyqCHA00X
📀 Bloody Roar Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t48sZjDnHQ8KmmHCLH1osuG

🎮 BLOODY ROAR 2 | BRINGER OF THE NEW AGE | THE NEW BREED | 1998 | ブラッディロア2

📀 Bloody Roar 2 - PS Arcade 95 - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7-SGsYymPdB3qVUv9n9Igb
📀 Bloody Roar 2 Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t7BPaB_busts7QSnkuRJkyf
