🎮 CASTLEVANIA | 1986

📀 Castlevania - NES - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t4j5PHJfGj4d8Vnpdme1NY-
📀 Castlevania - NES - PAL - Gamerip Tracks | https://www.youtube.com/playlist?list=PLSu2qxc74TT0
📀 Castlevania - MSX2 - Gamerip Tracks | https://www.youtube.com/playlist?list=PLTdPkkPVE8ds
📀 Castlevania Complete OST | https://www.youtube.com/playlist?list=PLEMbvZ0I4YUw

🎮 CASTLEVANIA II: SIMON'S QUEST | 1987

📀 Castlevania II: Simon's Quest OST - Disc 1 | https://www.youtube.com/playlist?list=PL90QAKwVH1t7rSyxpRT1CO-J72Kgp-g7G
📀 Castlevania II: Simon's Quest OST - Disc 2 | https://www.youtube.com/playlist?list=PL90QAKwVH1t7Bu7mxfgxi4j4HwFH9JYh_
📀 Castlevania II: Simon's Quest OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t7VJwAfQtPcGPyDNhnl1N_Q
📀 Castlevania II: Simon's Quest (FDS) - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t4pZ7Pfdynhonqg8dU1yZDb
📀 Castlevania II: Simon's Quest (NES) - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7VolX8HHkHZF9b7KPyH0XI
📀 Castlevania II: Simon's Quest (PAL) - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t5cgYYQEyGqJWKkDxSFWG9K
📀 Castlevania II: Simon's Quest Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4cdJAgVii8NFwS7C__Q3Uo

📀 MUSIC ARRANGE for Family Computer Castlevania & Castlevania II: Simon's Quest | https://www.youtube.com/playlist?list=PL90QAKwVH1t5iC4yKDTZPDBB6qunCMpw3
