🎮 METAL GEAR | 1987

📀 Metal Gear - MSX2 - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t43szKAuMh0s4y0I_cYnc1M
📀 Metal Gear - NES - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t6ApthVcBCA0U7ZraEN9uYn
📀 Metal Gear - COMMODORE 64 - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7pzssFlGUbIcrKfmdNEX2h
📀 Metal Gear Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t7mzIob9grKD7Jkw3-_Xz2e

🎮 SNAKE'S REVENGE: METAL GEAR 2 | 1990

📀 Snake's Revenge: Metal Gear 2 - NES - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7V_1TTXC4zyMlFCXFhQHky

🎮 METAL GEAR 2: SOLID SNAKE | 1990

📀 Metal Gear 2: Solid Snake OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t6Pv_2JagyNwX4wkSv7-0K1
📀 Metal Gear 2: Solid Snake Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4VMyEbTn2OiekH7HGOYC_5
