🎮 SUPER SMASH BROS. | 1999

📀 Super Smash Bros. OST: Disc 1 | https://www.youtube.com/playlist?list=PL90QAKwVH1t7_uekEQi-ZJPf4xKb5QEmT
📀 Super Smash Bros. OST: Disc 2 | https://www.youtube.com/playlist?list=PL90QAKwVH1t59U-dMzmaKw-xUKJ0fpTTa
📀 Super Smash Bros. OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4PP1PcXiRvpNIW0R6sKaw9
📀 Super Smash Bros. OST: Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7VLGiT8jD4hSgzzCl6tqJq
📀 Super Smash Bros. Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t7_ReZq1nHr9ihqV69sXa5R

🎮 SUPER SMASH BROS. MELEE | 2001

📀 Super Smash Bros. Melee Smashing…Live! Live Orchestra Music | https://www.youtube.com/playlist?list=PL90QAKwVH1t73TIlig1YCkvq4IhqlFx5w
📀 Super Smash Bros. Melee Smashing…Live! | https://www.youtube.com/playlist?list=PLAmCrfj--0FQ
📀 Super Smash Bros. Melee: Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t4MHYzfjWaH16J-h0sDNIhp
📀 Super Smash Bros. Melee Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4rHPc-lWJX4RfXlhzmxgoW

🎮 SUPER SMASH BROS. BRAWL | 2008

📀 Super Smash Bros. Brawl - Gamerip Tracks | https://www.youtube.com/playlist?list=PLeAbPc3Q8igA
📀 Super Smash Bros. Brawl Complete OST | https://www.youtube.com/playlist?list=PLabJqUVi3mpE
