🎮 TENCHU: STEALTH ASSASSINS | 1998

📀 Tenchu: Stealth Assassins OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t6k6HX3dMS1VSRWi_RaVqpC
📀 Tenchu: Stealth Assassins - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t7-_8v1QL2cQfJMYrrZ0D6N
📀 Tenchu: Stealth Assassins - Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4rryr237p0NsCl8zX2I8Ju

🎮 TENCHU 2: BIRTH OF THE STEALTH ASSASSINS | 2000

📀 Tenchu 2: Birth of the Stealth Assassins OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t4mp7ux9FbKgTLuJfRrhqS7

🎮 TENCHU: WRATH OF HEAVEN | 2003

📀 Tenchu: Wrath of Heaven OST - Disc 1 | https://www.youtube.com/playlist?list=PL90QAKwVH1t66Ayrri6SijYWLHPctOQTy
📀 Tenchu: Wrath of Heaven OST - Disc 2 | https://www.youtube.com/playlist?list=PL90QAKwVH1t7i1GcjIylALUnhByn7jHXY
📀 Tenchu: Wrath of Heaven OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t5yfCs-0NNM2nQ8twZYPZ-_
📀 Tenchu: Wrath of Heaven - Gamerip Tracks | https://www.youtube.com/playlist?list=PL90QAKwVH1t5TdIaTrq5S5L97EcGL2f3d 
📀 Tenchu: Wrath of Heaven Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t7Y0OZd2hdrgMS-YrVvVJGr

🎮 TENCHU - KURENAI - FATAL SHADOWS | 2004

📀 Tenchu - Kurenai - Fatal Shadows OST | https://www.youtube.com/playlist?list=PLJxnkPQD2ipE
📀 Tenchu - Kurenai - Fatal Shadows Complete OST | https://www.youtube.com/playlist?list=PLeaFXIjSP8ro

---

▶️ Tenchu Complete OST | https://www.youtube.com/playlist?list=PL90QAKwVH1t76IlYCnf2fhk48KsKaeK7E
