00:00:00 01 Pure Anger | Incarnation of Wrath | Story: Rage
00:02:58 02 Fate at Its Limit | Destiny on the Brink | Story: Crisis
00:05:42 03 Inevitable Clash | An Unavoidable Battle | Story: Threat
00:09:48 04 Agony | Tormenting Agony | Story: Tension
00:13:32 05 Approaching Hope | Hope Lies Ahead | Story: Peace
00:16:40 06 Peace Within | The Tranquility One Should Hold Within | Story: Serenity
00:20:33 07 A Lone Soul | The Solitary Wanderer | Story: Destiny
00:23:59 08 Gentle Breeze | Melody of the Gentle Breeze | Story: Grace
00:27:37 09 At the End of a Journey | At the End of a Long Journey | Story: Emotional Scene
00:30:43 10 Solemn Vow | The Time to Make a Vow | Story: Resolution
00:34:08 11 Fate Against Her | Lest She Become a Servant of Fate | Story: Tragedy
00:37:31 12 Emerging from the Abyss | One Born from the Deep Abyss | Story: Ominous
00:40:36 13 B for Bravery | Now Is the Time to Show Your Courage | Story: Journey
00:43:41 14 Days Gone By | Memories of Days Long Past | Story: Everyday Life
00:47:12 15 A Graceful Soul | A Soul of Elegant Grace | Story: Liberation
00:49:17 16 Soul Engraver | Sculptor of Souls | Creation
00:55:22 17 Healing Winds: Reminiscences | Winds That Heal the Warrior: Beyond Reminiscence | Museum
01:01:16 18 Resolute Vanguard | Vanguard of Determination | Sanctuary of the Silver Wolves
01:05:47 19 Ancestral Darkness | Darkness Passed Down Since Ancient Times | Underground Great Labyrinth: Sealed Corridor
01:11:05 20 Call of the Legend | Though the Legend Belongs to the Past | Master Swordsman's Cave: Night
01:15:30 21 A Day for Celebration | An Auspicious Day for the Master and Disciple | Soul Chronicle: Setsuka Chapter – Everyday Life
01:20:18 22 Shrouded in Mist | Silent Boat Hidden in the Mist | Soul Chronicle: Setsuka Chapter – Legend
01:25:18 23 Empty Vengeance | The Futile Flower of Vengeance | Murakumo Shrine Precincts
01:29:48 24 Savior in the Shadows | Secret Messenger of Salvation | Soul Chronicle: Hwang Chapter – Infiltration
01:35:17 25 Hidden Saga | Chronicle of the Hidden Sword Hero | Sky Ridge Ruins
01:39:57 26 Shadow Judgment | One Who Cuts Through the Darkness of the Age | Soul Chronicle: Hwang's Theme
01:43:12 27 Blade, Malice, Catalyst | Sword, Malice, and Awakening | Soul Chronicle: Evil Sword Theme
01:47:23 28 Battle-worn Soul | A Soul Honed by the Blade | Soul Chronicle: Event Battle – Mitsurugi's Deadly Duel
